MMM
ABT
ABBV
ACN
ACE
ACT
ADBE
ADT
AES
AET
AMG
AFL
A
GAS
APD
ARG
AKAM
AA
ALXN
ALLE
AGN
ADS
ALL
ALTR
MO
AMZN
AEE
AEP
AXP
AIG
AMT
AMP
ABC
AME
AMGN
APH
APC
ADI
AON
APA
AIV
AAPL
AMAT
ADM
AIZ
T
ADSK
ADP
AN
AZO
AVGO
AVB
AVY
AVP
BHI
BLL
BAC
BK
BCR
BAX
BBT
BDX
BBBY
BMS
BRK-B
BBY
BIIB
BLK
BA
BWA
BXP
BSX
BMY
BRCM
BF-B
CHRW
CA
CVC
COG
CAM
CPB
COF
CAH
CFN
KMX
CCL
CAT
CBG
CBS
CELG
CNP
CTL
CERN
CF
CHK
CVX
CMG
CB
CI
XEC
CINF
CTAS
CSCO
C
CTXS
CLX
CME
CMS
COH
KO
CCE
CTSH
CL
CMCSA
CMA
CSC
CAG
COP
CNX
ED
STZ
GLW
COST
CCI
CSX
CMI
CVS
DHI
DHR
DRI
DVA
DE
DLPH
DAL
DNR
XRAY
DVN
DO
DTV
DFS
DISCA
DG
DLTR
D
DOV
DOW
DPS
DTE
DD
DUK
DNB
ETFC
EMN
ETN
EBAY
ECL
EIX
EW
EA
EMC
EMR
ESV
ETR
EOG
EQT
EFX
EQR
ESS
EL
EXC
EXPE
EXPD
ESRX
XOM
FFIV
FB
FDO
FAST
FDX
FIS
FITB
FSLR
FE
FISV
FLIR
FLS
FLR
FMC
FTI
F
FOSL
