117.33,0,144223,1427967000
118.08,0,98190,1427967900
117.8342,0,83586,1427968800
117.46,0,69985,1427969700
117.22,0,63717,1427970600
117.28,0,64657,1427971500
117.38,0,64578,1427972400
117.5,0,67287,1427973300
117.55,0,64809,1427974200
117.28,0,86829,1427975100
116.92,0,45897,1427976000
116.93,0,32882,1427976900
117.3299,0,38427,1427977800
117.15,0,38158,1427978700
117.35,0,27441,1427979600
117.57,0,41165,1427980500
117.56,0,67708,1427981400
117.59,0,56665,1427982300
117.54,0,43075,1427983200
117.69,0,74980,1427984100
117.47,0,39940,1427985000
117.52,0,55114,1427985900
117.55,0,87794,1427986800
117.5453,0,67531,1427987700
117.56,0,129500,1427988600
117.36,0,317641,1427989500
117.22,0,136438,1428312600
117.37,0,69159,1428313500
117.31,0,68414,1428314400
117.87,0,64508,1428315300
117.69,0,79786,1428316200
117.72,0,71028,1428317100
117.55,0,137924,1428318000
117.6005,0,58113,1428318900
117.85,0,86212,1428319800
117.96,0,33055,1428320700
117.9145,0,50471,1428321600
118.02,0,72917,1428322500
118.01,0,31050,1428323400
118.26,0,37413,1428324300
118.35,0,47781,1428325200
118.42,0,44829,1428326100
118.4045,0,55324,1428327000
118.3,0,71948,1428327900
118.095,0,68055,1428328800
118.08,0,61999,1428329700
118.08,0,48559,1428330600
118,0,53218,1428331500
118,0,76761,1428332400
117.91,0,68356,1428333300
117.805,0,86550,1428334200
117.77,0,250788,1428335100

118.41,0.006,301543,1428414668027
118.01,0.0026,435767,1428415568707
118.17,0.004,550673,1428416469445
118.12,0.0036,755297,1428417370238
118.11,0.0034000000000000002,861608,1428418271043
117.95,0.0021,952260,1428419172532
117.95,0.0021,1010220,1428420073333
118.04,0.0029,1069929,1428420974161
117.85,0.0013,1111920,1428421874981
117.81,9.0E-4,1283865,1428422775796
117.95,0.0021,1318719,1428423676485
117.86,0.0014000000000000002,1348037,1428424577160
117.86,0.0014000000000000002,1377140,1428425477835
118.05,0.003,1461399,1428426378755
118.12,0.0036,1502725,1428427280683
118.11,0.0034999999999999996,1537752,1428428181593
118.12,0.0036,1595626,1428429082329
118.17,0.004,1635815,1428429983026
118.02,0.0027,1677198,1428430883856
117.98,0.0024,1720335,1428431784542
